,Year,Week,State,TotalCases,Duration,Mature,Rain,Temp,API
1,2011,1,Selangor,38,46.0,0.42857142857142855,0.5714285714285714,28.0,50.76190476190476
5,2011,2,Selangor,69,41.333333333333336,0.7142857142857143,0.2857142857142857,28.428571428571427,44.21
9,2011,3,Selangor,32,46.0,0.5714285714285714,0.14285714285714285,28.571428571428573,61.32380952380952
12,2011,4,Selangor,42,53.0,0.2857142857142857,0.7142857142857143,27.571428571428573,43.352380952380955
15,2011,5,Selangor,64,43.0,0.14285714285714285,0.8571428571428571,28.0,45.36190476190476
19,2011,6,Selangor,82,45.0,0.7142857142857143,0.5714285714285714,29.857142857142858,48.38095238095238
22,2011,7,Selangor,92,52.8,0.8571428571428571,1.0,29.857142857142858,55.695238095238096
25,2011,8,Selangor,105,55.0,0.5714285714285714,0.8571428571428571,30.142857142857142,52.55238095238095
28,2011,9,Selangor,78,54.8,1.0,0.7142857142857143,29.571428571428573,48.93
30,2011,10,Selangor,9,40.0,0.8571428571428571,1.0,28.857142857142858,45.75238095238095
32,2011,11,Selangor,9,31.0,0.7142857142857143,1.0,29.0,50.27619047619048
34,2011,12,Selangor,63,32.833333333333336,1.0,0.42857142857142855,28.714285714285715,35.73
36,2011,13,Selangor,17,34.0,1.0,0.14285714285714285,30.142857142857142,45.65714285714286
38,2011,17,Selangor,15,34.5,0.7142857142857143,0.8571428571428571,29.571428571428573,48.41
39,2011,18,Selangor,11,31.5,0.8571428571428571,0.42857142857142855,30.571428571428573,52.857142857142854
41,2011,19,Selangor,22,33.333333333333336,0.8571428571428571,0.2857142857142857,30.571428571428573,48.666666666666664
43,2011,20,Selangor,18,38.0,0.42857142857142855,1.0,29.714285714285715,47.114285714285714
45,2011,21,Selangor,28,40.666666666666664,0.2857142857142857,0.5714285714285714,29.857142857142858,42.076190476190476
48,2011,24,Selangor,87,36.25,0.5714285714285714,0.2857142857142857,30.0,64.02857142857142
50,2011,25,Selangor,69,45.4,1.0,0.42857142857142855,29.714285714285715,54.68571428571428
53,2011,27,Selangor,83,44.0,0.42857142857142855,0.7142857142857143,28.857142857142858,59.61904761904762
55,2011,28,Selangor,45,38.75,0.42857142857142855,0.42857142857142855,29.142857142857142,54.19047619047619
57,2011,29,Selangor,31,53.0,0.7142857142857143,0.2857142857142857,29.857142857142858,54.85263157894737
59,2011,30,Selangor,22,42.5,0.42857142857142855,0.42857142857142855,29.0,54.50476190476191
64,2011,34,Selangor,7,31.0,0.7142857142857143,0.5714285714285714,28.714285714285715,47.7047619047619
67,2011,41,Selangor,14,32.5,0.7142857142857143,0.42857142857142855,29.857142857142858,50.84761904761905
69,2011,42,Selangor,10,40.0,0.7142857142857143,1.0,28.857142857142858,41.34285714285714
73,2011,45,Selangor,12,32.5,0.8571428571428571,0.8571428571428571,29.0,48.304761904761904
75,2011,46,Selangor,9,40.0,1.0,1.0,29.0,42.46666666666667
77,2011,47,Selangor,9,47.0,0.8571428571428571,1.0,29.285714285714285,38.67619047619048
81,2011,50,Selangor,16,32.0,1.0,0.8571428571428571,28.428571428571427,41.77142857142857
83,2011,51,Selangor,21,35.0,0.5714285714285714,0.8571428571428571,27.857142857142858,42.8
85,2011,52,Selangor,9,31.0,1.0,0.75,29.5,40.95
87,2012,2,Selangor,5,35.0,0.5714285714285714,0.7142857142857143,28.857142857142858,47.266666666666666
91,2012,9,Selangor,7,31.0,1.0,0.8333333333333334,29.5,40.25714285714286
93,2012,10,Selangor,21,34.5,1.0,0.5714285714285714,29.571428571428573,47.542857142857144
95,2012,11,Selangor,12,37.5,0.8571428571428571,0.5714285714285714,29.0,42.72380952380952
99,2012,14,Selangor,10,31.0,0.42857142857142855,1.0,29.142857142857142,47.19047619047619
101,2012,15,Selangor,10,38.0,0.8571428571428571,0.8571428571428571,29.428571428571427,46.25714285714286
103,2012,18,Selangor,8,33.0,0.8571428571428571,0.5714285714285714,29.571428571428573,43.58095238095238
118,2013,25,Selangor,26,36.5,0.7142857142857143,0.0,30.285714285714285,88.00952380952381
119,2013,26,Selangor,28,42.5,0.0,0.2857142857142857,29.428571428571427,113.95403726708075
120,2013,27,Selangor,44,40.25,0.0,0.2857142857142857,28.714285714285715,47.166666666666664
121,2013,28,Selangor,31,48.5,0.2857142857142857,0.5714285714285714,28.285714285714285,36.36265060240964
128,2013,29,Selangor,315,12.28048780487805,0.2857142857142857,0.2857142857142857,28.857142857142858,52.02289156626506
130,2013,30,Selangor,89,40.8,0.5714285714285714,0.14285714285714285,28.571428571428573,68.49642857142857
133,2013,31,Selangor,95,47.666666666666664,0.2857142857142857,0.2857142857142857,29.571428571428573,63.319047619047616
135,2013,32,Selangor,119,46.6,0.14285714285714285,0.42857142857142855,29.142857142857142,39.18730158730159
136,2013,33,Selangor,160,41.333333333333336,0.2857142857142857,0.5714285714285714,29.0,48.43952095808383
137,2013,34,Selangor,188,48.333333333333336,0.42857142857142855,0.5714285714285714,27.857142857142858,47.51829268292683
138,2013,35,Selangor,233,50.0,0.5714285714285714,0.7142857142857143,28.285714285714285,60.11506849315069
140,2013,36,Selangor,306,47.86666666666667,0.5714285714285714,0.8571428571428571,27.571428571428573,47.26774193548387
141,2013,37,Selangor,328,52.0,0.7142857142857143,0.7142857142857143,27.571428571428573,40.35925925925926
142,2013,38,Selangor,377,52.72222222222222,0.8571428571428571,0.14285714285714285,28.857142857142858,52.57125748502994
143,2013,39,Selangor,439,49.421052631578945,0.7142857142857143,0.42857142857142855,29.285714285714285,56.15542168674699
145,2013,43,Selangor,1196,49.24074074074074,0.7142857142857143,0.8571428571428571,28.142857142857142,34.050299401197606
147,2013,44,Selangor,1441,49.36619718309859,0.5714285714285714,1.0,28.285714285714285,41.92952380952381
148,2013,45,Selangor,1668,51.24050632911393,0.8571428571428571,0.8571428571428571,27.714285714285715,38.483809523809526
149,2013,46,Selangor,1523,54.130434782608695,1.0,1.0,28.0,41.0059880239521
150,2013,47,Selangor,1655,54.97435897435897,0.8571428571428571,0.5714285714285714,28.142857142857142,39.57724550898204
152,2013,48,Selangor,1851,60.7972972972973,1.0,1.0,28.714285714285715,37.12517006802721
153,2013,49,Selangor,1692,61.794117647058826,0.5714285714285714,0.7142857142857143,26.714285714285715,43.63174603174603
155,2013,50,Selangor,1912,56.90909090909091,1.0,0.8571428571428571,28.714285714285715,41.625
157,2013,52,Selangor,2357,59.09183673469388,0.8571428571428571,0.8571428571428571,28.142857142857142,41.56190476190476
